Alimiento;Medida casera;Cantidad (g-ml);HC (g);Prot. (g);Grasa (g);Na (mg);K (mg);P (mg);Ca (mg);Fe (mg);Colest (mg);Purinas (mg);Fibra (g);Agua (g);Calorías
Chocolate Nesquik (polvo);1 cucharada;10 g;8.9;0.5;0.3;-;-;-;-;-;-;-;-;-;40.3
Chocolate Nestlé (polvo);1 cucharada;10 g;6;1.3;0.6;-;-;-;-;0.9;-;-;-;-;34.6
Dulce de batata;1 porc chica;50 g;31.2;0.1;0.3;2.84;3.19;3.9;4.1;-;-;-;0.06;16.0;127.9
Dulce de guayaba;;;0;0;0;;;;;;;;;;0
Dulce de leche;1 cucharada;20 g;12.4;1.6;1.8;2.44;7.86;51.4;64.4;0.1;-;-;-;4.8;72.2
Dulce de membrillo;1 porc chica;50 g;43.4;0.5;0.2;3.23;7.37;5.2;0.9;-;-;-;0.04;17.5;177.4
Gelatina dietética;1 taza (té);200 g;0.6;3.4;0;21.8;-;-;-;-;-;0.0;-;194.0;16
Gelatina dietética;1 compotera;100 g;0.3;1.7;0;10.9;-;-;-;-;-;0.0;-;97.1;8
Gelatina normal;1 taza (té);200 g;24.6;3;0;10.2;-;-;-;-;-;0.0;-;166.1;110.4
Gelatina normal;1 compotera;100 g;12.3;1.5;0;5.1;-;-;-;-;-;0.0;-;83.1;55.2
Jugo Ades Manzana/naranja;½ vaso;100 ml;10;0.5;0.2;1.7;4.25;12.2;-;0.2;-;0.0;-;90.0;43.8
Jugo Ades Natural;½ vaso;100 ml;3.2;2.7;1.7;6.73;16.38;46.9;-;0.7;-;0.0;-;90.0;38.9
Mermelada;1 cucharadita;5 g;3.5;0;0;0.06;0.44;0.5;1.0;0.1;-;0.0;0.01;1.4;14.1
Mermelada dietética;1 cucharadita;5 g;1.3;0;0;-;-;-;-;-;-;0.0;0;1.0;5.2
Miel de abeja;1 cucharada;5 g;3.9;0;0;0.04;0.05;0.8;1.0;0.0;-;0.0;-;1.1;15.6
Miel negra;1 cucharada;5 g;3.6;0;0;-;-;2.1;3.5;0.1;-;0.0;0.03;1.3;14.5
GRASAS;;;0;0;0;;;;;;;;;;0
Aceite;1 cucharada;5 g;0;0;5;0.01;0.01;-;0.8;-;-;0.0;-;-;45
Crema de leche (40%);1 cucharada;10 g;0.3;0.2;3.8;0.32;0.89;5.9;7.5;-;136.0;0.0;-;5.7;36.2
Jamón cocido;1 feta;25 g;0.5;6.5;5.2;27.5;5.76;35.0;-;-;21.3;10.8;-;10.0;74.8
Manteca;1 cucharadita;4 g;0;0;3.4;0.89;0.06;1.0;0.6;-;9.6;0.0;-;0.6;30.7
Margarina;1 cucharadita;4 g;0;0;3;0.4;-;-;-;-;4.6;0.0;-;-;27
